Component,Selector,Module,Type,Template,Styles,Complexity,Wave,Dependencies,Angular Patterns,React Target,Notes
AppComponent,app-root,AppModule,Root Shell,External HTML,External SCSS,3/5,5,"AuthService, Router","BehaviorSubject subscribe, router.events filter, NavigationEnd",components/layout/AppShell.tsx,"Auth-aware layout switching, sidebar toggle"
HeaderComponent,app-header,SharedModule,Shared Layout,External HTML,External SCSS,3/5,5,"AuthService, NotificationService, Router","BehaviorSubject subscribe, EventEmitter output, mat-menu, mat-badge",components/layout/Header.tsx,"Notification panel, user dropdown menu, unread count badge"
SidebarComponent,app-sidebar,SharedModule,Shared Layout,External HTML,External SCSS,2/5,5,Router,"Input binding, routerLink, routerLinkActive, mat-icon",components/layout/Sidebar.tsx,"5 nav items, collapse/expand toggle, active route"
FooterComponent,app-footer,SharedModule,Shared Layout,External HTML,External SCSS,1/5,5,None,Static template,components/layout/Footer.tsx,Static content only
LoadingSpinnerComponent,app-loading-spinner,SharedModule,Shared UI,Inline Template,Inline Styles,1/5,5,None,"Input binding (isLoading, message), *ngIf",components/ui/LoadingSpinner.tsx,Simple conditional render
LoginComponent,app-login,LoginModule,Page,External HTML,External SCSS,2/5,1,"AuthService, Router","Template-driven form (ngModel), click handler, loading state",pages/Login.tsx,"Email/password form, show/hide password toggle, redirect on success"
DashboardComponent,app-dashboard,DashboardModule,Page,External HTML,External SCSS,3/5,2,"AuthService, LoanService","forkJoin, BehaviorSubject subscribe, *ngFor, formatCurrency, mat-icon",pages/Dashboard.tsx,"Stats cards, quick actions, recent loans table"
LoanApplicationComponent,app-loan-application,LoanApplicationModule,Page,External HTML,External SCSS,5/5,4,"AuthService, LoanService, FormBuilder","Reactive forms (3 FormGroups), Validators, multi-step wizard, formControlName, mat-icon",pages/LoanApplication/index.tsx,"4-step wizard, complex validation, estimated payment calc"
LoanCalculatorComponent,app-loan-calculator,LoanCalculatorModule,Page,External HTML,External SCSS,3/5,3,LoanService,"Two-way binding (ngModel), ngModelChange, SVG donut chart, *ngFor, pagination",pages/LoanCalculator.tsx,"Real-time calculation, amortization schedule, range sliders"
LoanStatusComponent,app-loan-status,LoanStatusModule,Page,External HTML,External SCSS,3/5,2,LoanService,"BehaviorSubject subscribe, *ngFor, *ngIf, ngModel (search), ngClass, click expand",pages/LoanStatus.tsx,"Filterable list, search, expandable cards, timeline, progress bars"
ProfileComponent,app-profile,ProfileModule,Page,External HTML,External SCSS,2/5,1,AuthService,"*ngIf view/edit toggle, ngModel (edit form), date pipe, click handlers",pages/Profile.tsx,"View/edit modes, security section, communication preferences"
